JK,Jurusan,IPK,Ngampus
Perempuan,Ak,3.98,7
Perempuan,Ak,3.05,9
Perempuan,Ak,3.07,9
Perempuan,Ak,3.07,9
Perempuan,Ak,3.91,9
Perempuan,Ak,3.46,10
Laki-laki,Ak,4,10
Laki-laki,DKV,2.57,7
Laki-laki,DKV,3.15,7
Laki-laki,DKV,3.4,7
Perempuan,DKV,3.13,8
Laki-laki,DKV,3.15,8
Perempuan,DKV,3.51,8
Perempuan,DKV,3.19,9
Perempuan,DKV,3.2,9
Perempuan,DKV,3.3,9
Laki-laki,DKV,3.59,9
Perempuan,DKV,2.9,10
Perempuan,DKV,3.02,10
Perempuan,DKV,3.11,10
Perempuan,DKV,3.7,11
Perempuan,Ilkom,2.9,6
Perempuan,Ilkom,3.34,7
Perempuan,Ilkom,3.5,8
Perempuan,Ilkom,3.82,8
Perempuan,Ilkom,3.62,9
Perempuan,Ilkom,2.98,10
Perempuan,Ilkom,2.98,10
Perempuan,Ilkom,3.33,11
Laki-laki,Ilkom,3.2,5
Laki-laki,Mn,3.58,7
Perempuan,Mn,3.5,7
Perempuan,Mn,2.48,8
Laki-laki,Mn,3.27,8
Perempuan,Mn,3.28,8
Perempuan,Mn,3.4,8
Perempuan,Mn,3.43,9
Perempuan,Mn,3.01,10
Perempuan,Mn,3.07,10
Perempuan,Mn,2.54,10.5
Perempuan,Mn,3.24,11
Perempuan,Mn,3.97,11
Perempuan,SI,2.69,6.5
Laki-laki,SI,2.39,7
Perempuan,SI,3.3,7
Laki-laki,SI,2.5,7.5
Laki-laki,SI,3.08,9
Perempuan,SI,3.1,9
Laki-laki,SI,3.3,9
Perempuan,SI,3.46,9
Perempuan,SI,3.2,9.6
Laki-laki,SI,2.9,10
Laki-laki,SI,2.9,12
Laki-laki,SK,3.5,6
Laki-laki,SK,2.4,8
Laki-laki,SK,3.8,9
Laki-laki,SK,3.88,9
Perempuan,SK,3.85,10
Laki-laki,TI,2.83,5
Laki-laki,TI,3.02,5.8
Laki-laki,TI,2.5,6
Laki-laki,TI,2.7,6
Laki-laki,TI,2.6,7
Laki-laki,TI,2.97,7
Laki-laki,TI,3.03,7.2
Laki-laki,TI,3.52,7.25
Laki-laki,TI,2.48,8
Perempuan,TI,2.9,8
Perempuan,TI,3.01,8
Laki-laki,TI,3.02,8
Laki-laki,TI,3.3,8
Laki-laki,TI,3.41,8
Laki-laki,TI,3.5,8
Perempuan,TI,3.72,8
Perempuan,TI,3,9
Laki-laki,TI,3.43,9
Laki-laki,TI,3.45,9
Laki-laki,TI,3.78,11
Laki-laki,TI,3.68,12
Laki-laki,TI,3.07,6
